Timecode List:,00:00:12.212,00:00:13.981,00:00:15.682,00:00:16.316,00:00:17.484,00:00:19.152,00:00:19.786,00:00:20.921,00:00:22.623,00:00:23.490,00:00:24.358,00:00:25.092,00:00:26.026,00:00:27.527,00:00:34.268,00:00:39.439,00:00:42.175,00:00:45.812,00:00:50.217,00:00:57.124,00:01:04.398,00:01:10.304,00:01:15.709,00:01:21.048,00:01:26.253,00:01:31.892,00:01:36.730,00:01:39.900,00:01:45.238,00:01:52.012,00:01:52.713,00:01:53.380,00:01:54.982,00:01:58.785,00:02:03.557,00:02:08.695,00:02:13.900,00:02:21.174,00:02:26.313,00:02:36.123,00:02:39.960,00:02:45.499,00:02:50.270,00:02:53.974,00:02:58.278,00:03:02.683,00:03:07.654,00:03:12.459,00:03:15.696,00:03:19.533,00:03:24.638,00:03:30.010,00:03:32.846,00:03:36.683,00:03:42.055,00:03:47.394,00:03:52.365,00:03:53.066,00:03:57.537,00:04:02.909,00:04:08.148,00:04:13.086,00:04:19.059,00:04:24.664,00:04:31.304,00:04:36.042,00:04:41.214,00:04:46.520,00:04:49.422,00:04:52.592,00:04:57.764,00:05:01.802,00:05:06.206,00:05:10.844,00:05:15.749,00:05:18.552,00:05:23.323,00:05:28.595,00:05:32.499,00:05:36.503,00:05:42.776,00:05:48.515,00:05:53.520,00:05:57.791,00:06:03.463,00:06:09.469,00:06:20.380,00:06:21.181,00:06:21.781,00:06:24.618,00:06:31.291,00:06:36.563,00:06:37.464,00:06:38.064,00:06:41.234,00:06:46.339,00:06:51.478,00:06:56.483,00:07:02.088,00:07:08.028,00:07:13.099,00:07:17.971,00:07:22.842,00:07:27.814,00:07:35.388,00:07:40.427,00:07:44.631,00:07:49.402,00:07:54.708,00:08:07.721,00:08:12.225,00:08:17.230,00:08:24.004,00:08:27.674,00:08:33.380,00:08:39.819,00:08:41.988,00:08:43.556,00:08:47.694,00:08:52.766,00:08:58.238,00:09:03.309,00:09:08.048,00:09:12.919,00:09:17.857,00:09:21.594,00:09:27.067,00:09:32.806,00:09:37.877,00:09:42.715,00:09:47.921,00:09:51.391,00:09:58.064,00:10:03.069,00:10:06.172,00:10:09.609,00:10:14.447,00:10:23.223,00:10:28.361,00:10:33.833,00:10:38.838,00:10:44.744,00:10:48.381,00:10:50.650,00:10:55.622,00:11:01.327,00:11:05.832,00:11:10.937,00:11:15.675,00:11:19.779,00:11:22.982,00:11:28.788,00:11:32.492,00:11:34.761,00:11:45.038,00:11:51.811,00:11:56.649,00:12:01.354,00:12:06.392,00:12:09.862,00:12:14.334,00:12:18.905,00:12:23.176,00:12:26.512,00:12:33.286,00:12:39.626,00:12:44.631,00:12:49.802,00:12:54.707,00:13:02.215,00:13:07.053,00:13:13.226,00:13:18.731,00:13:24.437,00:13:29.776,00:13:34.781,00:13:39.952,00:13:45.091,00:13:50.663,00:13:54.334,00:13:58.871,00:14:04.344,00:14:10.717,00:14:18.524,00:14:24.263,00:14:28.067,00:14:32.672,00:14:41.614,00:14:50.022,00:14:53.760,00:14:58.631,00:15:01.267,00:15:16.215,00:15:23.656,00:15:28.895,00:15:36.736,00:15:42.175,00:15:48.748,00:15:59.725,00:16:06.799,00:16:13.306
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,299,00:00:09.977,9.977,366,00:00:12.212,12.212,67,00:00:02.236,2.236
2,366,00:00:12.212,12.212,419,00:00:13.981,13.981,53,00:00:01.768,1.768
3,419,00:00:13.981,13.981,470,00:00:15.682,15.682,51,00:00:01.702,1.702
4,470,00:00:15.682,15.682,489,00:00:16.316,16.316,19,00:00:00.634,0.634
5,489,00:00:16.316,16.316,524,00:00:17.484,17.484,35,00:00:01.168,1.168
6,524,00:00:17.484,17.484,574,00:00:19.152,19.152,50,00:00:01.668,1.668
7,574,00:00:19.152,19.152,593,00:00:19.786,19.786,19,00:00:00.634,0.634
8,593,00:00:19.786,19.786,627,00:00:20.921,20.921,34,00:00:01.134,1.134
9,627,00:00:20.921,20.921,678,00:00:22.623,22.623,51,00:00:01.702,1.702
10,678,00:00:22.623,22.623,704,00:00:23.490,23.490,26,00:00:00.868,0.868
11,704,00:00:23.490,23.490,730,00:00:24.358,24.358,26,00:00:00.868,0.868
12,730,00:00:24.358,24.358,752,00:00:25.092,25.092,22,00:00:00.734,0.734
13,752,00:00:25.092,25.092,780,00:00:26.026,26.026,28,00:00:00.934,0.934
14,780,00:00:26.026,26.026,825,00:00:27.527,27.527,45,00:00:01.502,1.502
15,825,00:00:27.527,27.527,1027,00:00:34.268,34.268,202,00:00:06.740,6.740
16,1027,00:00:34.268,34.268,1182,00:00:39.439,39.439,155,00:00:05.172,5.172
17,1182,00:00:39.439,39.439,1264,00:00:42.175,42.175,82,00:00:02.736,2.736
18,1264,00:00:42.175,42.175,1373,00:00:45.812,45.812,109,00:00:03.637,3.637
19,1373,00:00:45.812,45.812,1505,00:00:50.217,50.217,132,00:00:04.404,4.404
20,1505,00:00:50.217,50.217,1712,00:00:57.124,57.124,207,00:00:06.907,6.907
21,1712,00:00:57.124,57.124,1930,00:01:04.398,64.398,218,00:00:07.274,7.274
22,1930,00:01:04.398,64.398,2107,00:01:10.304,70.304,177,00:00:05.906,5.906
23,2107,00:01:10.304,70.304,2269,00:01:15.709,75.709,162,00:00:05.405,5.405
24,2269,00:01:15.709,75.709,2429,00:01:21.048,81.048,160,00:00:05.339,5.339
25,2429,00:01:21.048,81.048,2585,00:01:26.253,86.253,156,00:00:05.205,5.205
26,2585,00:01:26.253,86.253,2754,00:01:31.892,91.892,169,00:00:05.639,5.639
27,2754,00:01:31.892,91.892,2899,00:01:36.730,96.730,145,00:00:04.838,4.838
28,2899,00:01:36.730,96.730,2994,00:01:39.900,99.900,95,00:00:03.170,3.170
29,2994,00:01:39.900,99.900,3154,00:01:45.238,105.238,160,00:00:05.339,5.339
30,3154,00:01:45.238,105.238,3357,00:01:52.012,112.012,203,00:00:06.773,6.773
31,3357,00:01:52.012,112.012,3378,00:01:52.713,112.713,21,00:00:00.701,0.701
32,3378,00:01:52.713,112.713,3398,00:01:53.380,113.380,20,00:00:00.667,0.667
33,3398,00:01:53.380,113.380,3446,00:01:54.982,114.982,48,00:00:01.602,1.602
34,3446,00:01:54.982,114.982,3560,00:01:58.785,118.785,114,00:00:03.804,3.804
35,3560,00:01:58.785,118.785,3703,00:02:03.557,123.557,143,00:00:04.771,4.771
36,3703,00:02:03.557,123.557,3857,00:02:08.695,128.695,154,00:00:05.138,5.138
37,3857,00:02:08.695,128.695,4013,00:02:13.900,133.900,156,00:00:05.205,5.205
38,4013,00:02:13.900,133.900,4231,00:02:21.174,141.174,218,00:00:07.274,7.274
39,4231,00:02:21.174,141.174,4385,00:02:26.313,146.313,154,00:00:05.138,5.138
40,4385,00:02:26.313,146.313,4679,00:02:36.123,156.123,294,00:00:09.810,9.810
41,4679,00:02:36.123,156.123,4794,00:02:39.960,159.960,115,00:00:03.837,3.837
42,4794,00:02:39.960,159.960,4960,00:02:45.499,165.499,166,00:00:05.539,5.539
43,4960,00:02:45.499,165.499,5103,00:02:50.270,170.270,143,00:00:04.771,4.771
44,5103,00:02:50.270,170.270,5214,00:02:53.974,173.974,111,00:00:03.704,3.704
45,5214,00:02:53.974,173.974,5343,00:02:58.278,178.278,129,00:00:04.304,4.304
46,5343,00:02:58.278,178.278,5475,00:03:02.683,182.683,132,00:00:04.404,4.404
47,5475,00:03:02.683,182.683,5624,00:03:07.654,187.654,149,00:00:04.972,4.972
48,5624,00:03:07.654,187.654,5768,00:03:12.459,192.459,144,00:00:04.805,4.805
49,5768,00:03:12.459,192.459,5865,00:03:15.696,195.696,97,00:00:03.237,3.237
50,5865,00:03:15.696,195.696,5980,00:03:19.533,199.533,115,00:00:03.837,3.837
51,5980,00:03:19.533,199.533,6133,00:03:24.638,204.638,153,00:00:05.105,5.105
52,6133,00:03:24.638,204.638,6294,00:03:30.010,210.010,161,00:00:05.372,5.372
53,6294,00:03:30.010,210.010,6379,00:03:32.846,212.846,85,00:00:02.836,2.836
54,6379,00:03:32.846,212.846,6494,00:03:36.683,216.683,115,00:00:03.837,3.837
55,6494,00:03:36.683,216.683,6655,00:03:42.055,222.055,161,00:00:05.372,5.372
56,6655,00:03:42.055,222.055,6815,00:03:47.394,227.394,160,00:00:05.339,5.339
57,6815,00:03:47.394,227.394,6964,00:03:52.365,232.365,149,00:00:04.972,4.972
